Batch,Problem,FilePath,SolutionFound,SolutionCount,ComputationTime_ms,Restarts,TotalSteps,AvgStepsToSolution,EstimatedEnergy_microjoules,EstimatedPower_mW,EnergyPerSolution_microjoules,RunTimestamp
t_batch_0,C3_formula_0.cnf,./problems/t_batch_0/C3_formula_0.cnf,True,1,0.002,1,14,14.0,30.0014,15000.7,30.0014,2025-03-09T13:24:57.437763
t_batch_0,C3_formula_1.cnf,./problems/t_batch_0/C3_formula_1.cnf,True,1,0.016,1,319,319.0,240.2552,15015.95,240.2552,2025-03-09T13:24:57.441595
t_batch_0,C3_formula_10.cnf,./problems/t_batch_0/C3_formula_10.cnf,True,1,0.005,1,55,55.0,75.01375,15002.75,75.01375,2025-03-09T13:24:57.446147
t_batch_0,C3_formula_11.cnf,./problems/t_batch_0/C3_formula_11.cnf,True,1,0.004,1,27,27.0,60.0054,15001.35,60.0054,2025-03-09T13:24:57.451538
t_batch_0,C3_formula_12.cnf,./problems/t_batch_0/C3_formula_12.cnf,True,1,0.006,1,51,51.0,90.0153,15002.55,90.0153,2025-03-09T13:24:57.455400
t_batch_0,C3_formula_13.cnf,./problems/t_batch_0/C3_formula_13.cnf,True,1,0.003,1,15,15.0,45.002250000000004,15000.75,45.002250000000004,2025-03-09T13:24:57.458616
t_batch_0,C3_formula_14.cnf,./problems/t_batch_0/C3_formula_14.cnf,True,1,0.007,1,93,93.0,105.03255,15004.65,105.03255,2025-03-09T13:24:57.463027
t_batch_0,C3_formula_15.cnf,./problems/t_batch_0/C3_formula_15.cnf,True,1,0.006,1,36,36.0,90.0108,15001.8,90.0108,2025-03-09T13:24:57.466734
t_batch_0,C3_formula_16.cnf,./problems/t_batch_0/C3_formula_16.cnf,True,1,0.004,1,22,22.0,60.0044,15001.1,60.0044,2025-03-09T13:24:57.470619
t_batch_0,C3_formula_17.cnf,./problems/t_batch_0/C3_formula_17.cnf,True,1,0.005,1,27,27.0,75.00675000000001,15001.35,75.00675000000001,2025-03-09T13:24:57.474248
t_batch_0,C3_formula_18.cnf,./problems/t_batch_0/C3_formula_18.cnf,True,1,0.006,1,56,56.0,90.01679999999999,15002.8,90.01679999999999,2025-03-09T13:24:57.478246
t_batch_0,C3_formula_19.cnf,./problems/t_batch_0/C3_formula_19.cnf,True,1,0.005,1,24,24.0,75.006,15001.2,75.006,2025-03-09T13:24:57.482783
t_batch_0,C3_formula_2.cnf,./problems/t_batch_0/C3_formula_2.cnf,True,1,0.003,1,11,11.0,45.00165,15000.55,45.00165,2025-03-09T13:24:57.486523
t_batch_0,C3_formula_20.cnf,./problems/t_batch_0/C3_formula_20.cnf,True,1,0.004,1,16,16.0,60.00319999999999,15000.8,60.00319999999999,2025-03-09T13:24:57.490584
t_batch_0,C3_formula_21.cnf,./problems/t_batch_0/C3_formula_21.cnf,True,1,0.009,1,87,87.0,135.03914999999998,15004.35,135.03914999999998,2025-03-09T13:24:57.494178
t_batch_0,C3_formula_22.cnf,./problems/t_batch_0/C3_formula_22.cnf,True,1,0.005,1,21,21.0,75.00525,15001.05,75.00525,2025-03-09T13:24:57.498667
t_batch_0,C3_formula_23.cnf,./problems/t_batch_0/C3_formula_23.cnf,True,1,0.005,1,21,21.0,75.00525,15001.05,75.00525,2025-03-09T13:24:57.502650
t_batch_0,C3_formula_24.cnf,./problems/t_batch_0/C3_formula_24.cnf,True,1,0.004,1,19,19.0,60.003800000000005,15000.95,60.003800000000005,2025-03-09T13:24:57.506711
t_batch_0,C3_formula_25.cnf,./problems/t_batch_0/C3_formula_25.cnf,True,1,0.005,1,32,32.0,75.00800000000001,15001.6,75.00800000000001,2025-03-09T13:24:57.510197
t_batch_0,C3_formula_26.cnf,./problems/t_batch_0/C3_formula_26.cnf,True,1,0.005,1,30,30.0,75.00750000000001,15001.5,75.00750000000001,2025-03-09T13:24:57.513970
