Batch,Problem,FilePath,SolutionFound,SolutionCount,ComputationTime_ms,Restarts,TotalSteps,AvgStepsToSolution,EstimatedEnergy_microjoules,EstimatedPower_mW,EnergyPerSolution_microjoules,RunTimestamp
t_batch_0,C0_formula_0.cnf,./problems/t_batch_0/C0_formula_0.cnf,True,1,0.014,1,93,93.0,210.0651,15004.65,210.0651,2025-03-09T13:27:47.665830
t_batch_0,C0_formula_1.cnf,./problems/t_batch_0/C0_formula_1.cnf,True,1,0.041,1,804,804.0,616.6482000000001,15040.2,616.6482000000001,2025-03-09T13:27:47.670383
t_batch_0,C0_formula_10.cnf,./problems/t_batch_0/C0_formula_10.cnf,True,1,0.012,1,96,96.0,180.05759999999998,15004.8,180.05759999999998,2025-03-09T13:27:47.674880
t_batch_0,C0_formula_11.cnf,./problems/t_batch_0/C0_formula_11.cnf,True,1,0.014,1,118,118.0,210.08259999999999,15005.9,210.08259999999999,2025-03-09T13:27:47.679610
t_batch_0,C0_formula_12.cnf,./problems/t_batch_0/C0_formula_12.cnf,True,1,0.012,1,96,96.0,180.05759999999998,15004.8,180.05759999999998,2025-03-09T13:27:47.684084
t_batch_0,C0_formula_13.cnf,./problems/t_batch_0/C0_formula_13.cnf,True,1,0.01,1,75,75.0,150.03750000000002,15003.75,150.03750000000002,2025-03-09T13:27:47.688766
t_batch_0,C0_formula_14.cnf,./problems/t_batch_0/C0_formula_14.cnf,True,1,0.027,1,337,337.0,405.45495,15016.85,405.45495,2025-03-09T13:27:47.692786
t_batch_0,C0_formula_15.cnf,./problems/t_batch_0/C0_formula_15.cnf,True,1,0.054,1,903,903.0,812.4381,15045.15,812.4381,2025-03-09T13:27:47.697517
t_batch_0,C0_formula_16.cnf,./problems/t_batch_0/C0_formula_16.cnf,True,1,0.016,1,171,171.0,240.1368,15008.55,240.1368,2025-03-09T13:27:47.701754
t_batch_0,C0_formula_17.cnf,./problems/t_batch_0/C0_formula_17.cnf,True,1,0.011,1,85,85.0,165.04675,15004.25,165.04675,2025-03-09T13:27:47.705531
t_batch_0,C0_formula_18.cnf,./problems/t_batch_0/C0_formula_18.cnf,True,1,0.008,1,43,43.0,120.01719999999999,15002.15,120.01719999999999,2025-03-09T13:27:47.709238
t_batch_0,C0_formula_19.cnf,./problems/t_batch_0/C0_formula_19.cnf,True,1,0.059,1,667,667.0,886.96765,15033.35,886.96765,2025-03-09T13:27:47.713252
t_batch_0,C0_formula_2.cnf,./problems/t_batch_0/C0_formula_2.cnf,True,1,0.026,1,376,376.0,390.48879999999997,15018.8,390.48879999999997,2025-03-09T13:27:47.717230
t_batch_0,C0_formula_3.cnf,./problems/t_batch_0/C0_formula_3.cnf,True,1,0.014,1,136,136.0,210.09519999999998,15006.8,210.09519999999998,2025-03-09T13:27:47.721005
t_batch_0,C0_formula_4.cnf,./problems/t_batch_0/C0_formula_4.cnf,True,1,0.013,1,110,110.0,195.0715,15005.5,195.0715,2025-03-09T13:27:47.724625
t_batch_0,C0_formula_5.cnf,./problems/t_batch_0/C0_formula_5.cnf,True,1,0.018,1,180,180.0,270.162,15009.0,270.162,2025-03-09T13:27:47.728315
t_batch_0,C0_formula_6.cnf,./problems/t_batch_0/C0_formula_6.cnf,True,1,0.013,1,100,100.0,195.065,15005.0,195.065,2025-03-09T13:27:47.732431
t_batch_0,C0_formula_7.cnf,./problems/t_batch_0/C0_formula_7.cnf,True,1,0.015,1,128,128.0,225.09599999999998,15006.4,225.09599999999998,2025-03-09T13:27:47.736272
t_batch_0,C0_formula_8.cnf,./problems/t_batch_0/C0_formula_8.cnf,True,1,0.015,1,136,136.0,225.10199999999998,15006.8,225.10199999999998,2025-03-09T13:27:47.739613
t_batch_0,C0_formula_9.cnf,./problems/t_batch_0/C0_formula_9.cnf,True,1,0.01,1,63,63.0,150.03150000000002,15003.15,150.03150000000002,2025-03-09T13:27:47.743132
t_batch_1,C0_formula_0.cnf,./problems/t_batch_1/C0_formula_0.cnf,True,1,0.198,1,1301,1301.0,2982.8799,15065.05,2982.8799,2025-03-09T13:27:47.750473
t_batch_1,C0_formula_1.cnf,./problems/t_batch_1/C0_formula_1.cnf,True,1,1.521,1,11753,11753.0,23708.815649999997,15587.65,23708.815649999997,2025-03-09T13:27:47.758861
t_batch_1,C0_formula_10.cnf,./problems/t_batch_1/C0_formula_10.cnf,True,1,0.184,1,1203,1203.0,2771.0676,15060.15,2771.0676,2025-03-09T13:27:47.766690
t_batch_1,C0_formula_11.cnf,./problems/t_batch_1/C0_formula_11.cnf,True,1,14.42,1,116673,116673.0,300421.233,20833.65,300421.233,2025-03-09T13:27:47.787983
t_batch_1,C0_formula_12.cnf,./problems/t_batch_1/C0_formula_12.cnf,True,1,1.589,1,11687,11687.0,24763.53215,15584.35,24763.53215,2025-03-09T13:27:47.797206
t_batch_1,C0_formula_13.cnf,./problems/t_batch_1/C0_formula_13.cnf,True,1,0.066,1,336,336.0,991.1088,15016.8,991.1088,2025-03-09T13:27:47.804524
t_batch_1,C0_formula_14.cnf,./problems/t_batch_1/C0_formula_14.cnf,True,1,6.92,1,55977,55977.0,123168.04199999999,17798.85,123168.04199999999,2025-03-09T13:27:47.818402
t_batch_1,C0_formula_15.cnf,./problems/t_batch_1/C0_formula_15.cnf,True,1,0.943,1,6218,6218.0,14438.178699999999,15310.9,14438.178699999999,2025-03-09T13:27:47.826233
t_batch_1,C0_formula_16.cnf,./problems/t_batch_1/C0_formula_16.cnf,True,1,0.264,1,1852,1852.0,3984.4464000000003,15092.6,3984.4464000000003,2025-03-09T13:27:47.833848
t_batch_1,C0_formula_17.cnf,./problems/t_batch_1/C0_formula_17.cnf,True,1,0.318,1,1765,1765.0,4798.0635,15088.25,4798.0635,2025-03-09T13:27:47.840917
t_batch_1,C0_formula_18.cnf,./problems/t_batch_1/C0_formula_18.cnf,True,1,0.936,1,7627,7627.0,14396.943600000002,15381.35,14396.943600000002,2025-03-09T13:27:47.848711
t_batch_1,C0_formula_19.cnf,./problems/t_batch_1/C0_formula_19.cnf,True,1,2.385,1,18078,18078.0,37930.8015,15903.9,37930.8015,2025-03-09T13:27:47.857734
