
Hardware Performance Statistics:
--------------------------------------------------------------------------------
 Instance   Success Rate    Mean Runtime (μs)     Mean Energy (nJ)   Decomposed
--------------------------------------------------------------------------------
    0          100.00              8.70                73.88             No    
    1          100.00             19.33                164.10            No    
    2          100.00              6.50                55.20             No    
    3          100.00             11.46                97.29             No    
    4          100.00              7.82                66.42             No    
    5          100.00              8.46                71.78             No    
    6          100.00              8.66                73.56             No    
    7          100.00             16.84                142.93            No    
    8          100.00             11.10                94.22             No    
    9          100.00             10.17                86.33             No    
    10         100.00             17.13                145.45            No    
    11         100.00              6.10                51.83             No    
    12         100.00              5.44                46.20             No    
    13         100.00             30.26                256.93            No    
    14         100.00              7.19                61.01             No    
    15         100.00              5.76                48.91             No    
    16         100.00              8.34                70.84             No    
    17         100.00              5.14                43.59             No    
    18         100.00             17.56                149.08            No    
    19         100.00              5.94                50.41             No    
    20         100.00             24.38                207.01            No    
    21         100.00             37.41                317.58            No    
    22         100.00             14.61                124.03            No    
    23         100.00              7.43                63.04             No    
    24         100.00              5.58                47.35             No    
    25         100.00              7.45                63.29             No    
    26         100.00              5.75                48.80             No    
    27         100.00              3.50                29.69             No    
    28         100.00             12.01                101.99            No    
    29         100.00              6.57                55.78             No    
    30         100.00              7.29                61.90             No    
    31         100.00              8.96                76.04             No    
    32         100.00             19.75                167.69            No    
    33         100.00             16.59                140.81            No    
    34         100.00              3.48                29.54             No    
    35         100.00             15.00                127.34            No    
    36         100.00              6.00                50.92             No    
    37         100.00             42.02                356.73            No    
    38         100.00              4.91                41.69             No    
    39         100.00             12.38                105.11            No    
    40         100.00             16.50                140.12            No    
    41         100.00             17.97                152.54            No    
    42         100.00              6.32                53.63             No    
    43         100.00             56.92                483.23            No    
    44         100.00             13.13                111.44            No    
    45         100.00              5.33                45.27             No    
    46         100.00             27.85                236.42            No    
    47         100.00              6.12                51.99             No    
    48         100.00             27.20                230.94            No    
    49         100.00              9.04                76.76             No    
    50         100.00             135.19              1147.73            No    
    51          98.00             423.72              3597.37            No    
    52          85.00             253.36              2150.99            No    
    53         100.00             470.95              3998.33            No    
    54          99.00             45.27                384.34            No    
    55         100.00             50.58                429.45            No    
    56         100.00             61.05                518.30            No    
    57         100.00             100.78               855.63            No    
    58         100.00             221.75              1882.64            No    
    59          92.00             937.75              7961.51            No    
    60         100.00             42.29                359.00            No    
    61          97.00             100.11               849.92            No    
    62          88.00             218.53              1855.29            No    
    63         100.00             108.08               917.63            No    
    64          74.00            1886.72              16018.25           No    
    65         100.00             89.23                757.58            No    
    66         100.00             128.88              1094.19            No    
    67         100.00             43.03                365.29            No    
    68         100.00             128.90              1094.37            No    
    69          99.00             155.53              1320.47            No    
    70         100.00             55.83                473.99            No    
    71         100.00             215.77              1831.89            No    
    72          91.00            1360.49              11550.55           No    
    73         100.00             184.29              1564.65            No    
    74         100.00             41.41                351.53            No    
    75          82.00             443.97              3769.30            No    
    76         100.00             108.77               923.45            No    
    77         100.00             157.50              1337.19            No    
    78         100.00             200.30              1700.54            No    
    79         100.00             49.71                422.01            No    
    80         100.00             288.99              2453.55            No    
    81          99.00             400.37              3399.14            No    
    82         100.00             522.01              4431.89            No    
    83          76.00             151.57              1286.82            No    
    84         100.00             248.58              2110.45            No    
    85          76.00             213.87              1815.73            No    
    86         100.00             191.88              1629.03            No    
    87         100.00             745.81              6331.93            No    
    88         100.00             91.98                780.88            No    
    89          97.00             76.57                650.05            No    
    90         100.00             16.97                144.07            No    
    91         100.00             119.64              1015.73            No    
    92         100.00             289.70              2459.56            No    
    93         100.00             86.42                733.74            No    
    94          97.00             211.27              1793.70            No    
    95          78.00             218.92              1858.61            No    
    96         100.00             121.75              1033.65            No    
    97         100.00             87.27                740.90            No    
    98          98.00             108.07               917.51            No    
    99         100.00             72.70                617.25            No    
